"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6186","addEmployeeWithEmptyFirstNameTest","Surefire suite","2026-08-27","passed","2026-08-27","tests.EmployeeTest","Surefire test","tests.EmployeeTest","addEmployeeWithEmptyFirstNameTest"
"","7850","verifyOrangeHRMFooterLinkTest","Surefire suite","2026-08-27","passed","2026-08-27","tests.FooterTest","Surefire test","tests.FooterTest","verifyOrangeHRMFooterLinkTest"
"","5592","verifyAddUserPageTest","Surefire suite","2026-08-27","passed","2026-08-27","tests.AdminTest","Surefire test","tests.AdminTest","verifyAddUserPageTest"
"","751","emptyFieldsLoginTest","Surefire suite","2026-08-27","passed","2026-08-27","tests.LoginTest","Surefire test","tests.LoginTest","emptyFieldsLoginTest"
"","12792","addEmployeeSuccessfullyTest","Surefire suite","2026-08-27","passed","2026-08-27","tests.EmployeeTest","Surefire test","tests.EmployeeTest","addEmployeeSuccessfullyTest"
"","6503","searchForEmployeeTest","Surefire suite","2026-08-27","passed","2026-08-27","tests.EmployeeTest","Surefire test","tests.EmployeeTest","searchForEmployeeTest"
"","2643","validLoginTest","Surefire suite","2026-08-27","passed","2026-08-27","tests.LoginTest","Surefire test","tests.LoginTest","validLoginTest"
"","5454","searchForNonExistingEmployeeTest","Surefire suite","2026-08-27","passed","2026-08-27","tests.EmployeeTest","Surefire test","tests.EmployeeTest","searchForNonExistingEmployeeTest"
"","4475","openAddEmployeePageTest","Surefire suite","2026-08-27","passed","2026-08-27","tests.EmployeeTest","Surefire test","tests.EmployeeTest","openAddEmployeePageTest"
"","2789","verifySidebarMenuTest","Surefire suite","2026-08-27","passed","2026-08-27","tests.SidebarTest","Surefire test","tests.SidebarTest","verifySidebarMenuTest"
"","2195","invalidLoginTest","Surefire suite","2026-08-27","passed","2026-08-27","tests.LoginTest","Surefire test","tests.LoginTest","invalidLoginTest"
